OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
278,2015,NonResidential,Senior Care Community,2,DOWNTOWN,47.59626518,-122.3219466,1.0,5.0,102796,Senior Care Community,10620628.0,197.3,1.59,16,6,0.87732,0.12268,102796.0,20559.2
279,2015,SPS-District K-12,K-12 School,1,SOUTHWEST,47.57662845,-122.3846578,1.0,2.0,208981,K-12 School,7564604.0,175.9,0.74,13,1,1.0,0.0,208981.0,104490.5
281,2015,NonResidential,K-12 School,4,NORTHEAST,47.66549171,-122.3140067,1.0,2.0,55653,K-12 School,2003474.0,105.92,1.9,87,1,1.0,0.0,55653.0,27826.5
282,2015,NonResidential,Hotel,4,NORTHEAST,47.66156526,-122.3146098,1.0,16.0,106860,Hotel,12087498.0,467.18,4.22,84,1,1.0,0.0,106860.0,6678.75
283,2015,NonResidential,Small- and Mid-Sized Office,5,NORTH,47.71892746,-122.2947589,1.0,5.0,50759,Office,3045139.0,43.78,0.65,43,2,1.0,0.0,50759.0,10151.8
284,2015,NonResidential,Worship Facility,4,NORTHEAST,47.66176886,-122.3112037,1.0,2.0,56772,Worship Facility,2349950.0,80.79,1.35,63,1,1.0,0.0,56772.0,28386.0
285,2015,NonResidential,Worship Facility,4,NORTHEAST,47.66262897,-122.3114754,1.0,3.0,103000,Worship Facility,4864408.0,144.53,1.3,63,1,1.0,0.0,103000.0,34333.333
286,2015,SPS-District K-12,K-12 School,4,NORTHEAST,47.67746117,-122.3130281,1.0,3.0,269297,K-12 School,10281586.0,192.09,0.59,9,1,1.0,0.0,269297.0,89765.667
287,2015,SPS-District K-12,K-12 School,4,NORTHEAST,47.67115081,-122.2918182,1.0,3.0,75174,K-12 School,2654755.0,68.3,0.82,14,1,1.0,0.0,75174.0,25058.0
289,2015,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.64090041,-122.3656176,1.0,3.0,75214,K-12 School,2295845.0,38.55,0.41,12,1,1.0,0.0,75214.0,25071.333
290,2015,SPS-District K-12,K-12 School,1,SOUTHWEST,47.5724098,-122.3916721,1.0,3.0,134918,K-12 School,3773040.0,65.33,0.39,10,1,1.0,0.0,134918.0,44972.667
291,2015,SPS-District K-12,K-12 School,3,CENTRAL,47.59101433,-122.2981281,1.0,2.0,64414,K-12 School,2414679.0,16.83,0.1,24,1,1.0,0.0,64414.0,32207.0
292,2015,SPS-District K-12,K-12 School,6,NORTHWEST,47.67726399,-122.3223367,1.0,3.0,92437,K-12 School,4986643.0,218.12,2.31,88,1,1.0,0.0,92437.0,30812.333
293,2015,NonResidential,Other,7,DOWNTOWN,47.61104202,-122.33238983,1.0,7.0,128766,Other - Entertainment/Public Assembly,6550618.0,56.32,0.23,101,3,1.0,0.0,128766.0,18395.143
294,2015,NonResidential,Residence Hall/Dormitory,7,DOWNTOWN,47.60775556,-122.3324724,1.0,9.0,107572,Residence Hall/Dormitory,5445025.0,223.86,1.97,102,3,1.0,0.0,107572.0,11952.444
295,2015,NonResidential,Other,7,DOWNTOWN,47.60683648,-122.3346694,1.0,15.0,230880,Other,63668488.0,443.86,0.74,60,1,1.0,0.0,230880.0,15392.0
300,2015,SPS-District K-12,K-12 School,2,GREATER DUWAMISH,47.55156934,-122.3138036,1.0,3.0,204961,K-12 School,7971886.0,202.07,0.89,8,1,1.0,0.0,204961.0,68320.333
302,2015,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,47.63640533,-122.3791694,1.0,1.0,76086,Other,2903161.0,80.75,0.97,42,1,1.0,0.0,76086.0,76086.0
313,2015,NonResidential,Medical Office,7,MAGNOLIA / QUEEN ANNE,47.61994816,-122.3606641,1.0,5.0,190000,Medical Office,19816686.0,371.48,1.62,88,2,0.79474,0.20526,190000.0,38000.0
314,2015,NonResidential,Hotel,7,DOWNTOWN,47.61245737,-122.3521832,1.0,4.0,122309,No information,24060332.0,977.73,7.77,54,1,1.0,0.0,122309.0,30577.25
315,2015,Campus,Other,7,DOWNTOWN,47.61120625,-122.34849684,4.0,3.0,215476,Other,25377650.0,659.56,2.76,20,1,1.0,0.0,53869.0,71825.333
316,2015,NonResidential,Hotel,7,DOWNTOWN,47.61067514,-122.3465482,1.0,8.0,254273,Hotel,27787286.0,798.63,2.89,12,1,0.84741,0.15259,254273.0,31784.125
317,2015,Nonresidential COS,Other,7,DOWNTOWN,47.60725784,-122.34207153,1.0,2.0,69400,Other - Entertainment/Public Assembly,15671253.0,305.15,3.69,35,1,1.0,0.0,69400.0,34700.0
318,2015,NonResidential,Other,7,DOWNTOWN,47.60411925,-122.3396021,1.0,1.0,62900,Other,6366808.0,211.01,3.17,115,3,1.0,0.0,62900.0,62900.0
319,2015,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60272217,-122.33557892,1.0,4.0,40000,Office,1372706.0,45.32,1.04,101,2,1.0,0.0,40000.0,10000.0
320,2015,NonResidential,Non-Refrigerated Warehouse,2,GREATER DUWAMISH,47.59457628,-122.3244189,1.0,4.0,203504,Non-Refrigerated Warehouse,3780078.0,26.35,0.05,7,2,1.0,0.0,203504.0,50876.0
322,2015,NonResidential,Large Office,7,DOWNTOWN,47.61744918,-122.35032532,1.0,3.0,100734,No information,10273140.0,71.62,0.27,47,1,0.73464,0.26536,100734.0,33578.0
323,2015,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61698381,-122.34958888,1.0,4.0,79678,Office,4829951.0,61.62,0.55,34,2,0.77949,0.22051,79678.0,19919.5
